Name,PSNR-RGB,PSNR-Y,Weighted-PSNR-YUV,SSIM,MSE,TimeTaken
388018.jpg,27.20320997,28.77870973,32.83411754,0.836831064,0.001324735,0.004227877
326085.jpg,26.03030829,27.33522704,32.804948,0.784131867,0.001847044,0.004296064
61034.jpg,25.32899896,26.60849133,30.84589464,0.798753475,0.002183488,0.002658129
20069.jpg,29.01588277,30.49246092,34.45367981,0.885399874,0.000892799,0.003670216
118072.jpg,25.96088299,27.25001813,32.73729975,0.696238872,0.001883641,0.002578735
384022.jpg,24.1609715,25.53668319,30.44452697,0.735434909,0.002794677,0.002648354
71099.jpg,24.04288871,25.25316925,30.2230838,0.667367222,0.002983205,0.003551483
100099.jpg,32.60405024,33.98821506,38.15477571,0.885713252,0.000399189,0.004202843
296058.jpg,17.88839122,19.19864523,26.25242717,0.462656804,0.012026395,0.00346756
181021.jpg,26.3226158,27.71442944,32.60354224,0.804934823,0.001692611,0.003545046
70011.jpg,36.88635656,38.33531541,41.53429155,0.960071785,0.000146713,0.00406003
306051.jpg,25.88597129,27.26867333,31.72356239,0.774905102,0.001875567,0.002730131
35049.jpg,29.20395523,30.59045074,34.686195,0.911174551,0.000872881,0.004774332
3063.jpg,32.68655202,34.19742818,37.9864337,0.934790995,0.000380415,0.00301528
161045.jpg,28.96982498,30.27808593,35.63788435,0.789972929,0.000937975,0.003718853
23050.jpg,25.32429911,26.67857141,31.1649118,0.757414914,0.002148537,0.003639936
145079.jpg,21.85819536,23.115453,28.5506456,0.599562164,0.004880392,0.003007889
309040.jpg,25.08289695,26.53267703,30.70266571,0.766307032,0.00222194,0.00414443
104010.jpg,27.09846691,28.72381754,32.13091213,0.75288086,0.001341585,0.004101515
78098.jpg,20.25621237,21.51500517,26.46636886,0.601544906,0.00705504,0.003938198
80090.jpg,27.46302182,28.92210296,33.28641237,0.786840476,0.00128171,0.003348351
117025.jpg,24.08859066,25.40104082,31.93096691,0.647932582,0.00288334,0.004478455
206097.jpg,26.52112249,27.87816397,32.96145461,0.694052686,0.001629985,0.002694368
134067.jpg,18.91346768,20.42486431,25.85420022,0.635100376,0.009068043,0.002769232
388006.jpg,26.76654982,28.58981856,30.98493932,0.83246015,0.001383624,0.003981113
