Name,PSNR-RGB,PSNR-Y,Weighted-PSNR-YUV,SSIM,MSE,TimeTaken
101085.jpg,23.48955356,24.81425176,30.94723646,0.684350786,0.003300463,0.004497528
196073.jpg,27.15703682,28.48235758,34.95124162,0.588366404,0.001418287,0.002706289
236037.jpg,24.74284223,26.08830998,31.77264089,0.760069058,0.002461325,0.003143072
223061.jpg,24.20368119,25.53811246,31.86668053,0.76137875,0.002793758,0.003079891
300091.jpg,28.23775047,29.58720136,34.87097151,0.833964369,0.001099714,0.004423141
103070.jpg,30.55493784,31.89450616,36.97845738,0.90423853,0.000646472,0.004844666
189080.jpg,34.60515186,35.95230606,40.0793902,0.916945242,0.000253962,0.004497528
241048.jpg,24.27508849,25.60599507,30.95031225,0.715286202,0.002750429,0.00331378
291000.jpg,20.65197757,22.03322146,27.18457332,0.562723066,0.006261492,0.004792929
167083.jpg,19.37777268,20.68554819,27.72368668,0.627375578,0.00853975,0.00518775
304074.jpg,25.76286012,27.09468243,32.95725055,0.735665653,0.001952233,0.004655838
78004.jpg,25.84813658,27.16110503,33.35966816,0.797550283,0.001922602,0.004236937
148026.jpg,21.97916085,23.27818292,28.97720882,0.78240112,0.004700908,0.004857302
