Name,PSNR-RGB,PSNR-Y,Weighted-PSNR-YUV,SSIM,MSE,TimeTaken
images/BSD500,27.2564+-3.3615,28.6077+-3.3846,33.6526+-2.9316,0.8308+-0.0778,0.0018+-0.0015,0.0042+-0.0006
images/BSD300,27.1624+-3.6934,28.5074+-3.7137,33.774+-3.1705,0.8088+-0.0929,0.0019+-0.0016,0.0041+-0.0006
images/Set5,30.9549+-2.1705,32.9968+-2.4577,36.0358+-1.9578,0.9215+-0.0414,0.0006+-0.0004,0.0036+-0.0006
images/Set14,27.56+-3.395,29.417+-3.7813,inf+-nan,0.8405+-0.0894,0.0016+-0.0012,0.0047+-0.0015
images/SuperText136,25.2711+-5.0678,26.6466+-5.1524,inf+-nan,0.7603+-0.1332,0.0038+-0.0039,0.0032+-0.0006
genx3_noUpSample_50Kimages_533_tanh.model-Overall,26.6923+-4.1307,28.0726+-4.1958,inf+-nan,0.8062+-0.1059,0.0024+-0.0026,0.0039+-0.0008
