Name,PSNR-RGB,PSNR-Y,Weighted-PSNR-YUV,SSIM,MSE,TimeTaken
images/BSD500,25.6864+-3.1986,27.0521+-3.224,31.8944+-2.8992,0.7618+-0.098,0.0025+-0.0019,0.0036+-0.0006
images/BSD300,25.6798+-3.4968,27.0344+-3.5245,32.1071+-3.1053,0.7368+-0.1143,0.0026+-0.002,0.0036+-0.0007
images/Set5,28.7622+-2.2882,30.7638+-2.6318,33.857+-2.0855,0.8792+-0.0435,0.001+-0.0007,0.0033+-0.0008
images/Set14,25.8915+-3.2616,27.6538+-3.5935,inf+-nan,0.7749+-0.116,0.0023+-0.0016,0.004+-0.001
images/SuperText136,23.6257+-4.7193,25.0217+-4.8111,inf+-nan,0.6629+-0.1595,0.0051+-0.005,0.003+-0.0006
genx4_noUpSample_50Kimages.model-Overall,25.1091+-3.9074,26.5006+-3.9726,inf+-nan,0.7284+-0.1313,0.0033+-0.0034,0.0034+-0.0007
