Name,PSNR-RGB,PSNR-Y,Weighted-PSNR-YUV,SSIM,MSE,TimeTaken
388018.jpg,29.82881194,31.35466748,35.46505023,0.902308497,0.000732037,0.005316734
326085.jpg,27.92581151,29.24228366,34.734205,0.869803468,0.001190616,0.00335288
61034.jpg,27.25308765,28.52966353,32.9594033,0.853251496,0.001402922,0.004492044
20069.jpg,31.08493704,32.53365126,36.64644308,0.926486495,0.000558001,0.003346682
118072.jpg,26.83986912,28.13463894,33.8485505,0.758348587,0.001536513,0.004693985
384022.jpg,25.50494137,26.86021626,32.25559398,0.801566177,0.002060527,0.003192663
71099.jpg,24.80891885,26.02333421,31.31209649,0.735874215,0.002498427,0.00501132
100099.jpg,33.7296775,35.08977194,39.36738044,0.91633825,0.000309758,0.004240036
296058.jpg,18.95690156,20.27442578,27.60341783,0.588714417,0.009387662,0.003369093
181021.jpg,28.98842238,30.37139503,35.0804496,0.866996052,0.000918038,0.004420996
70011.jpg,39.08525903,40.52504189,43.53735459,0.975587732,8.86E-05,0.004213333
306051.jpg,27.80462122,29.18233381,33.81935987,0.856926822,0.001207165,0.004403114
35049.jpg,32.07356489,33.47418486,37.64525848,0.946977921,0.000449347,0.004562378
3063.jpg,35.04034318,36.50444624,40.24858035,0.959101766,0.000223643,0.00431633
161045.jpg,30.08187199,31.39290047,36.85658,0.837192249,0.000725621,0.003890276
23050.jpg,27.03063414,28.35644167,33.20193063,0.829970574,0.00146001,0.00311017
145079.jpg,22.95151388,24.22156037,29.99859694,0.696371501,0.003783066,0.004523993
309040.jpg,26.91821499,28.30642275,32.86176658,0.843795513,0.001476923,0.005016088
104010.jpg,28.84414065,30.35615858,34.17576236,0.832680554,0.000921264,0.003928661
78098.jpg,21.61153695,22.87918832,28.13235199,0.702131234,0.005153249,0.004094839
80090.jpg,28.96837522,30.36592175,34.99237083,0.85803469,0.000919195,0.004912138
117025.jpg,25.30735832,26.62465781,33.20108196,0.731041917,0.002175375,0.00486207
206097.jpg,27.87239263,29.21472787,34.5247566,0.773847159,0.001198194,0.003905058
134067.jpg,20.79522566,22.25966588,27.81008505,0.761800836,0.005943379,0.004878759
388006.jpg,29.27910393,31.19911011,33.613823,0.895531801,0.000758733,0.004551649
259060.jpg,23.97331764,25.22890931,29.87916408,0.732683193,0.002999916,0.002820969
368037.jpg,27.85151698,29.23598545,33.87578974,0.892707956,0.001192344,0.005064011
347031.jpg,28.0420382,29.35944705,34.62076266,0.861848143,0.001158925,0.00419116
97010.jpg,20.91558962,22.23543449,28.29139175,0.706170033,0.005976632,0.004857063
198087.jpg,27.81282426,29.12587683,35.01038942,0.903100803,0.00122296,0.004536152
250047.jpg,25.30817619,26.60876233,30.31420475,0.86889103,0.002183352,0.00282526
51084.jpg,28.42362304,29.77894749,34.57178986,0.853617268,0.001052217,0.004175186
267036.jpg,23.52894526,24.84818349,31.54888195,0.782721318,0.003274776,0.004668474
147077.jpg,26.084314,27.43653498,32.27947669,0.816209149,0.001804457,0.004865646
317043.jpg,26.07694738,27.38822878,32.32181571,0.768570292,0.00182464,0.004366398
15011.jpg,28.36627203,29.69691577,34.64106038,0.854568703,0.001072281,0.004896402
365072.jpg,24.44165822,25.76282949,31.32911299,0.751192461,0.002652877,0.003310919
384089.jpg,29.25110571,30.52459062,35.01411635,0.838256094,0.000886219,0.004551411
201080.jpg,27.03404447,28.32792641,32.96411629,0.843448465,0.001469628,0.003513813
41096.jpg,26.41947546,27.66734393,32.79254126,0.869033382,0.001711061,0.004425287
128035.jpg,30.36351566,31.79183797,35.67863285,0.893876965,0.000661936,0.004217148
118015.jpg,23.30703047,24.64940841,29.76480037,0.791261424,0.003428145,0.004450321
16068.jpg,24.95696239,26.21868058,31.91310576,0.847509593,0.002388537,0.003236771
41006.jpg,31.77277473,33.0838319,37.78272154,0.885821914,0.000491606,0.004315615
94095.jpg,26.97601826,28.30197101,33.99726962,0.770866162,0.001478437,0.005106926
226043.jpg,29.88665137,31.34209852,34.92825459,0.944255735,0.000734159,0.004142046
209021.jpg,31.82002845,33.17748883,37.71910196,0.875254657,0.000481117,0.004506588
48017.jpg,25.38289367,26.6549758,32.0535414,0.788023437,0.002160242,0.002988338
253092.jpg,31.1890086,32.62673182,36.86145101,0.929423183,0.000546169,0.004312277
189006.jpg,33.59618523,35.00959452,39.00525725,0.94722174,0.00031553,0.003071547
36046.jpg,28.91746832,30.21994564,34.78873047,0.769875231,0.000950617,0.004654646
69007.jpg,18.96916491,20.21526436,26.46558876,0.725315576,0.009516419,0.004395247
281017.jpg,30.67802428,32.04034587,36.68651917,0.910131663,0.000625123,0.004447222
10081.jpg,29.48166848,30.93707555,35.21623675,0.88864641,0.000805921,0.003225565
202000.jpg,23.68718056,24.90845581,30.89115124,0.820252727,0.003229642,0.004873991
118031.jpg,24.69156861,26.00525865,31.58705353,0.774273237,0.002508847,0.003036022
334025.jpg,29.26843986,30.59456623,36.33743487,0.851011468,0.000872054,0.004427433
335094.jpg,22.77691681,24.09343948,30.18315881,0.752071808,0.003896333,0.003362417
